statementId,statement_text,response_text,Tenured faculty,Tenure-track faculty,Term faculty,A & P faculty
,,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,,,,
1,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,strongly disagree,1,0,0,0
1,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,disagree,5,2,1,2
1,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,neutral,4,1,3,1
1,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,agree,6,7,6,4
1,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,strongly agree,4,2,2,3
1,I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,N/A,0,1,1,0
,,I have opportunities to have input into decisions that impact the School.,,,,
2,I have opportunities to have input into decisions that impact the School.,strongly disagree,5,1,1,1
2,I have opportunities to have input into decisions that impact the School.,disagree,9,1,1,1
2,I have opportunities to have input into decisions that impact the School.,neutral,2,2,4,1
2,I have opportunities to have input into decisions that impact the School.,agree,0,6,3,3
2,I have opportunities to have input into decisions that impact the School.,strongly agree,3,2,3,4
2,I have opportunities to have input into decisions that impact the School.,N/A,0,1,0,0
,,School leadership communicates about the rationale for decisions.,,,,
3,School leadership communicates about the rationale for decisions.,strongly disagree,6,0,1,2
3,School leadership communicates about the rationale for decisions.,disagree,8,2,0,0
3,School leadership communicates about the rationale for decisions.,neutral,1,2,1,1
3,School leadership communicates about the rationale for decisions.,agree,3,5,9,5
3,School leadership communicates about the rationale for decisions.,strongly agree,2,2,1,2
3,School leadership communicates about the rationale for decisions.,N/A,0,1,1,0
,,School leadership shares information openly.,,,,
4,School leadership shares information openly.,strongly disagree,1,0,1,1
4,School leadership shares information openly.,disagree,13,2,0,1
4,School leadership shares information openly.,neutral,2,4,1,1
4,School leadership shares information openly.,agree,2,5,7,6
4,School leadership shares information openly.,strongly agree,2,1,3,1
4,School leadership shares information openly.,N/A,0,1,1,0
,,I am familiar with the priorities in our current School of Engineering strategic plan.,,,,
5,I am familiar with the priorities in our current School of Engineering strategic plan.,strongly disagree,0,1,0,0
5,I am familiar with the priorities in our current School of Engineering strategic plan.,disagree,4,0,0,0
5,I am familiar with the priorities in our current School of Engineering strategic plan.,neutral,5,2,4,2
5,I am familiar with the priorities in our current School of Engineering strategic plan.,agree,9,8,2,6
5,I am familiar with the priorities in our current School of Engineering strategic plan.,strongly agree,2,2,6,2
5,I am familiar with the priorities in our current School of Engineering strategic plan.,N/A,0,0,1,0
,,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,,,,
6,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,strongly disagree,2,1,1,0
6,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,disagree,6,2,0,1
6,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,neutral,5,4,2,1
6,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,agree,6,5,6,6
6,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,strongly agree,1,1,3,2
6,I have an updated sense of where the School of Engineeringÿis in implementing our strategic plan.,N/A,0,0,1,0
,,I am satisfied with the overall direction of the School of Engineering.,,,,
7,I am satisfied with the overall direction of the School of Engineering.,strongly disagree,2,1,1,0
7,I am satisfied with the overall direction of the School of Engineering.,disagree,5,1,0,2
7,I am satisfied with the overall direction of the School of Engineering.,neutral,8,1,1,1
7,I am satisfied with the overall direction of the School of Engineering.,agree,2,8,7,3
7,I am satisfied with the overall direction of the School of Engineering.,strongly agree,3,2,3,4
7,I am satisfied with the overall direction of the School of Engineering.,N/A,0,0,1,0
,,There is an open system of communication between faculty and administration in the School of Engineering.,,,,
8,There is an open system of communication between faculty and administration in the School of Engineering.,strongly disagree,3,2,1,3
8,There is an open system of communication between faculty and administration in the School of Engineering.,disagree,8,1,0,0
8,There is an open system of communication between faculty and administration in the School of Engineering.,neutral,4,0,3,0
8,There is an open system of communication between faculty and administration in the School of Engineering.,agree,3,8,7,4
8,There is an open system of communication between faculty and administration in the School of Engineering.,strongly agree,2,2,1,3
8,There is an open system of communication between faculty and administration in the School of Engineering.,N/A,0,0,1,0
,,Our system of shared governance is effective.,,,,
9,Our system of shared governance is effective.,strongly disagree,7,1,1,1
9,Our system of shared governance is effective.,disagree,7,1,0,1
9,Our system of shared governance is effective.,neutral,3,4,3,1
9,Our system of shared governance is effective.,agree,2,5,5,3
9,Our system of shared governance is effective.,strongly agree,1,0,1,1
9,Our system of shared governance is effective.,N/A,0,2,3,3
,,The leadership of the School of Engineering is effective.,,,,
10,The leadership of the School of Engineering is effective.,strongly disagree,2,1,1,0
10,The leadership of the School of Engineering is effective.,disagree,9,1,0,2
10,The leadership of the School of Engineering is effective.,neutral,4,0,2,0
10,The leadership of the School of Engineering is effective.,agree,3,9,5,3
10,The leadership of the School of Engineering is effective.,strongly agree,2,2,4,5
10,The leadership of the School of Engineering is effective.,N/A,0,0,1,0
,,"Overall, I am satisfied with the leadership of the School of Engineering.",,,,
11,"Overall, I am satisfied with the leadership of the School of Engineering.",strongly disagree,3,1,1,0
11,"Overall, I am satisfied with the leadership of the School of Engineering.",disagree,9,1,0,2
11,"Overall, I am satisfied with the leadership of the School of Engineering.",neutral,3,1,2,1
11,"Overall, I am satisfied with the leadership of the School of Engineering.",agree,2,8,4,2
11,"Overall, I am satisfied with the leadership of the School of Engineering.",strongly agree,3,2,5,5
11,"Overall, I am satisfied with the leadership of the School of Engineering.",N/A,0,0,1,0
,,I would recommend the School of Engineering as a good place to work.,,,,
12,I would recommend the School of Engineering as a good place to work.,strongly disagree,2,0,1,0
12,I would recommend the School of Engineering as a good place to work.,disagree,5,1,0,1
12,I would recommend the School of Engineering as a good place to work.,neutral,6,2,0,1
12,I would recommend the School of Engineering as a good place to work.,agree,2,5,5,3
12,I would recommend the School of Engineering as a good place to work.,strongly agree,3,5,4,5
12,I would recommend the School of Engineering as a good place to work.,N/A,0,0,2,0
,,Faculty in the School of Engineering have collegial relationships.,,,,
13,Faculty in the School of Engineering have collegial relationships.,strongly disagree,1,0,0,0
13,Faculty in the School of Engineering have collegial relationships.,disagree,2,1,0,1
13,Faculty in the School of Engineering have collegial relationships.,neutral,1,2,3,2
13,Faculty in the School of Engineering have collegial relationships.,agree,14,6,7,6
13,Faculty in the School of Engineering have collegial relationships.,strongly agree,1,3,2,1
13,Faculty in the School of Engineering have collegial relationships.,N/A,1,1,1,0
,,Faculty receive appreciation and recognition for their accomplishments.,,,,
14,Faculty receive appreciation and recognition for their accomplishments.,strongly disagree,3,3,0,1
14,Faculty receive appreciation and recognition for their accomplishments.,disagree,4,0,1,1
14,Faculty receive appreciation and recognition for their accomplishments.,neutral,7,1,3,1
14,Faculty receive appreciation and recognition for their accomplishments.,agree,5,5,6,4
14,Faculty receive appreciation and recognition for their accomplishments.,strongly agree,1,3,2,2
14,Faculty receive appreciation and recognition for their accomplishments.,N/A,0,1,0,1
