Q1S1: Faculty type,Q2S1: Department,Q3S01: I have opportunities to voice my opinion about policies and procedures affecting the School of Engineering.,Q3S02: I have opportunities to have input into decisions that impact the School.,Q3S03: School leadership communicates about the rationale for decisions.,Q3S04: School leadership shares information openly.,Q3S05: I am familiar with the priorities in our current School of Engineering strategic plan.,Q3S06: I have an updated sense of where the School of Engineering is in implementing our strategic plan.,Q3S07: I am satisfied with the overall direction of the School of Engineering.,Q3S08: There is an open system of communication between faculty and administration in the School of Engineering.,Q3S09: Our system of shared governance is effective.,Q3S10: The leadership of the School of Engineering is effective.,"Q3S11: Overall, I am satisfied with the leadership of the School of Engineering.",Q3S12: I would recommend the School of Engineering as a good place to work.,Q3S13: Faculty in the School of Engineering have collegial relationships.,Q3S14: Faculty receive appreciation and recognition for their accomplishments.,Q4S1: I have opportunities to voice my opinion about decisions affecting my department.,Q4S2: My department chair shares relevant information with faculty in our department.,Q4S3: I am familiar with strategic goals and priorities for our department.,Q4S4: Leadership in my department is effective.,Q4S5: I would recommend my department as a good place to work.,Q4S6: Faculty in my department have collegial relationships.
1,3,0,5,5,4,5,4,4,4,2,4,4,5,4,5,5,4,5,4,5,5
3,1,3,3,4,5,5,5,4,3,3,4,3,4,3,3,5,5,5,5,5,5
1,4,2,1,2,2,4,2,2,2,2,2,1,1,1,3,1,1,4,1,1,1
1,1,5,5,5,5,5,5,5,5,5,5,5,5,0,4,5,5,5,5,5,5
1,5,4,,4,3,4,4,3,3,2,4,4,3,4,4,5,5,4,5,4,4
2,5,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,4,5,4,4,5
4,1,4,4,4,4,4,4,4,4,0,5,5,5,4,3,5,5,5,5,5,5
1,,4,3,4,2,4,3,2,4,2,3,2,3,4,2,4,4,2,1,2,4
3,2,4,3,4,4,3,4,5,4,0,5,5,5,3,4,4,4,0,4,4,3
1,3,3,2,1,1,3,2,3,2,2,2,2,,4,3,4,3,2,2,3,2
1,5,3,2,2,2,3,3,4,2,3,3,3,4,4,4,4,3,3,3,4,4
3,2,0,,0,0,0,0,0,0,0,0,0,0,0,,5,3,4,4,4,4
3,2,5,5,5,5,5,5,5,4,4,5,5,,4,4,5,5,4,4,4,4
